,Loss,Acc,Precision,Recall,F1score,MCC
0,0.4536357820034027,0.7897574305534363,0.7700240612030029,0.8131736516952515,0.7887191176414491,0.5814722776412964
1,0.4779309928417206,0.7882171869277954,0.8278988003730774,0.7207173705101013,0.7688820958137512,0.5783499479293823
2,0.5171279907226562,0.7577974796295166,0.7051845788955688,0.8936573266983032,0.7860595583915709,0.5373250246047974
3,0.5113722085952759,0.7520215511322021,0.7332776784896851,0.7811140418052673,0.7549567818641663,0.5032476186752319
4,0.5193042159080505,0.7504813075065613,0.7293824553489685,0.8106778264045715,0.7663451433181763,0.5033003091812134
mean,0.4958742380142212,0.7676549911499023,0.7531535148620605,0.803868043422699,0.7729925394058228,0.5407390356063843
