,Loss,Acc,Precision,Recall,F1score,MCC
Ecoli,1.9331746101379397,0.05299999937415123,1.0,0.05299999937415123,0.1003752276301384,0.0
HP,1.3356187343597412,0.2692307829856873,1.0,0.2692307829856873,0.42424240708351135,0.0
Human,0.31148234009742737,0.9031935930252076,1.0,0.9353333115577698,0.9660183787345886,0.0
Mus,0.2767080366611481,0.9170305728912354,1.0,0.9170305728912354,0.9567197561264038,0.0
SC,0.7246084809303284,0.5361828207969666,1.0,0.5389553904533386,0.6995330452919006,0.0
mean,0.9163184404373169,0.5357275538146495,1.0,0.5427100114524365,0.6293777629733086,0.0
